Date,Adj Close
1998-06-01,920.83
1998-07-01,931.44
1998-08-01,932.9
1998-09-01,958.24
1998-10-01,984.95
1998-11-01,981.8
1998-12-01,981.58
1999-01-01,983.5
1999-02-01,989.21
1999-03-01,963.96
1999-04-01,967.66
1999-05-01,969.96
1999-06-01,960.91
1999-07-01,958.9
1999-08-01,958.09
1999-09-01,958.23
1999-10-01,965.57
1999-11-01,966.62
1999-12-01,964.78
2000-01-01,958.37
2000-02-01,960.87
2000-03-01,975.32
2000-04-01,994.69
2000-05-01,991.54
2000-06-01,993.06
2000-07-01,1009.8
2000-08-01,1020.2
2000-09-01,1035.18
2000-10-01,1036
2000-11-01,1046.1
2000-12-01,1067.54
2001-01-01,1087.91
2001-02-01,1096.76
2001-03-01,1110.02
2001-04-01,1113.58
2001-05-01,1099.74
2001-06-01,1103.17
2001-07-01,1109.09
2001-08-01,1136.76
2001-09-01,1151.82
2001-10-01,1170.1
2001-11-01,1202.51
2001-12-01,1172.74
2002-01-01,1161.32
2002-02-01,1169.14
2002-03-01,1179.67
2002-04-01,1151.29
2002-05-01,1179.93
2002-06-01,1186.54
2002-07-01,1203.29
2002-08-01,1231.8
2002-09-01,1258.43
2002-10-01,1292.36
2002-11-01,1278.06
2002-12-01,1265.4
2003-01-01,1298.28
2003-02-01,1294.33
2003-03-01,1316.6
2003-04-01,1311.12
2003-05-01,1317.22
2003-06-01,1355.21
2003-07-01,1346.91
2003-08-01,1287.75
2003-09-01,1295.39
2003-10-01,1334.45
2003-11-01,1314.09
2003-12-01,1315.73
2004-01-01,1327.38
2004-02-01,1338.69
2004-03-01,1355.28
2004-04-01,1368
2004-05-01,1324
2004-06-01,1319.45
2004-07-01,1324.75
2004-08-01,1337.36
2004-09-01,1365.02
2004-10-01,1368.53
2004-11-01,1379.38
2004-12-01,1360.85
2005-01-01,1374.34
2005-02-01,1384.37
2005-03-01,1373.07
2005-04-01,1368.6
2005-05-01,1392.66
2005-06-01,1409.67
2005-07-01,1418.31
2005-08-01,1399.08
2005-09-01,1421.3
2005-10-01,1402.44
2005-11-01,1391.47
2005-12-01,1398.22
2006-01-01,1412.71
2006-02-01,1408.5
2006-03-01,1410.55
2006-04-01,1395.33
2006-05-01,1389.58
2006-06-01,1390.04
2006-07-01,1394.47
2006-08-01,1411.74
2006-09-01,1432.46
2006-10-01,1445.76
2006-11-01,1453.1
2006-12-01,1468.28
2007-01-01,1456.21
2007-02-01,1453.89
2007-03-01,1478
2007-04-01,1477.28
2007-05-01,1484.89
2007-06-01,1471.56
2007-07-01,1470.92
2007-08-01,1495.31
2007-09-01,1518.75
2007-10-01,1526.94
2007-11-01,1538.95
2007-12-01,1586.18
2008-01-01,1587.45
2008-02-01,1627.75
2008-03-01,1646.3
2008-04-01,1657.72
2008-05-01,1629.23
2008-06-01,1610.21
2008-07-01,1622.86
2008-08-01,1629.72
2008-09-01,1650.08
2008-10-01,1660.18
2008-11-01,1658.35
2008-12-01,1746.36
2009-01-01,1805.52
2009-02-01,1752.87
2009-03-01,1743.65
2009-04-01,1781.64
2009-05-01,1749.14
2009-06-01,1731.49
2009-07-01,1727.82
2009-08-01,1735.05
2009-09-01,1750.5
2009-10-01,1764.12
2009-11-01,1763.26
2009-12-01,1787.81
2010-01-01,1741.11
2010-02-01,1768.63
2010-03-01,1775.62
2010-04-01,1760.58
2010-05-01,1779.03
2010-06-01,1809.46
2010-07-01,1843.06
2010-08-01,1855.63
2010-09-01,1892.89
2010-10-01,1893.29
2010-11-01,1890.3
2010-12-01,1877.09
2011-01-01,1843.32
2011-02-01,1842.86
2011-03-01,1841.49
2011-04-01,1840.37
2011-05-01,1861.6
2011-06-01,1890.67
2011-07-01,1884.28
2011-08-01,1918.62
2011-09-01,1971.91
2011-10-01,2006.35
2011-11-01,1989.99
2011-12-01,2004.84
2012-01-01,2024.21
2012-02-01,2032.77
2012-03-01,2018.29
2012-04-01,1998.04
2012-05-01,2027.1
2012-06-01,2061.85
2012-07-01,2054.68
2012-08-01,2075.36
2012-09-01,2072.69
2012-10-01,2066.35
2012-11-01,2062.85
2012-12-01,2073.58
2013-01-01,2064.56
2013-02-01,2047.89
2013-03-01,2058.71
2013-04-01,2060.73
2013-05-01,2079.05
2013-06-01,2043.55
2013-07-01,2021.06
2013-08-01,2018.86
2013-09-01,2009.05
2013-10-01,2023.1
2013-11-01,2032.86
2013-12-01,2026.21
2014-01-01,2007.83
2014-02-01,2035.07
2014-03-01,2040.61
2014-04-01,2034.78
2014-05-01,2046.01
2014-06-01,2065.28
2014-07-01,2062.34
2014-08-01,2058.98
2014-09-01,2080.7
2014-10-01,2069.31
2014-11-01,2089.47
2014-12-01,2106.32
2015-01-01,2109.32
2015-02-01,2163.88
2015-03-01,2130.46
2015-04-01,2143.9
2015-05-01,2132.62
2015-06-01,2128.78
2015-07-01,2109.99
2015-08-01,2127.58
2015-09-01,2128.51
2015-10-01,2147.19
2015-11-01,2139.33
2015-12-01,2130.58
2016-01-01,2127.09
2016-02-01,2172.39
2016-03-01,2191.75
2016-04-01,2195.22
2016-05-01,2192.91
2016-06-01,2192.85
2016-07-01,2241.26
2016-08-01,2250.34
2016-09-01,2237.97
2016-10-01,2235.01
2016-11-01,2210.41
2016-12-01,2151.43
2017-01-01,2149.16
2017-02-01,2154.02
2017-03-01,2164.65
2017-04-01,2163.66
2017-05-01,2178.69
2017-06-01,2192.91
2017-07-01,2189.36
2017-08-01,2193.01
2017-09-01,2216.75
2017-10-01,2197.75
2017-11-01,2195.09
2017-12-01,2192.07
2018-01-01,2198.84
2018-02-01,2168.97
2018-03-01,2152.63
2018-04-01,2172.93
2018-05-01,2155.33
2018-06-01,2174.68
2018-07-01,2175.13
2018-08-01,2166.03
2018-09-01,2182.6
2018-10-01,2162.22
2018-11-01,2151.89
2018-12-01,2170.99
2019-01-01,2217.7
2019-02-01,2228.14
2019-03-01,2222.1
2019-04-01,2264.52
2019-05-01,2258.24
2019-06-01,2311.31
2019-07-01,2332.64
2019-08-01,2329.89
2019-09-01,2409.1
2019-10-01,2388.72
2019-11-01,2390.35
